lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2019_87,13460978.875766192,2690127.1229632846,case,降雨,針葉樹林型,39.438,28
2019_88,13452252.682567582,2653187.2287201425,case,降雨,闊葉樹林型,38.75,28
2019_89,13450853.98846666,2655403.411036799,case,降雨,闊葉樹林型,45.72,10
2019_90,13438984.969442686,2655404.644063083,case,降雨,闊葉樹林型,52.329,17
2019_91,13442830.09862198,2652214.2162543093,case,降雨,竹林,46.765,12
2019_92,13451593.386714555,2652452.479133847,case,降雨,闊葉樹林型,45.919,20
2019_93,13444287.597644692,2647649.461165072,case,降雨,闊葉樹林型,41.327,5
2019_94,13433051.135558289,2615766.687577271,case,其他,闊葉樹林型,44.195,8
2019_95,13431860.822074492,2626593.446184642,case,降雨,闊葉樹林型,43.344,9
2019_96,13440208.113649525,2628262.2047692533,case,降雨,闊葉樹林型,43.553,0
2019_97,13497092.39655438,2796470.152489832,case,降雨,針葉樹林型,43.423,7
2019_98,13482156.38613744,2818415.075232712,case,降雨,__NONFOREST__,38.254,0
2019_99,13487427.29086858,2828957.530934453,case,降雨,闊葉樹林型,42.869,9
2019_100,13512091.75978496,2828485.113945058,case,降雨,闊葉樹林型,46.095,15
2019_101,13500498.931112628,2820176.0127938665,case,降雨,針闊葉樹混淆,41.093,11
2019_102,13526144.838563614,2799455.3321560225,case,降雨,闊葉樹林型,65.395,0
2019_103,13539292.351161338,2799709.818468209,case,降雨,__NONFOREST__,53.288,5
2019_104,13510502.702590693,2810438.119137836,case,降雨,闊葉樹林型,50.874,22
2019_105,13566381.914030708,2822341.555673424,case,降雨,闊葉樹林型,36.612,2
2019_106,13527065.752489775,2821155.97507626,case,降雨,闊葉樹林型,38.934,8
2019_107,13523747.17330352,2742712.5400459287,case,地震,闊葉樹林型,57.903,14
2019_108,13521748.389048642,2737860.3224142804,case,地震,闊葉樹林型,47.124,13
2019_109,13520288.281307738,2748516.2463067,case,地震,闊葉樹林型,42.805,7
2019_110,13530734.889735322,2758567.5688031567,case,地震,闊葉樹林型,52.625,0
2019_111,13530712.563270891,2758423.795540709,case,地震,闊葉樹林型,37.077,3
2019_112,13530761.827501597,2761429.376347028,case,地震,闊葉樹林型,57.77,1
2019_113,13527960.45649458,2767241.5829272573,case,地震,針闊葉樹混淆,38.177,6
2019_114,13527927.503117558,2767344.120395056,case,地震,針闊葉樹混淆,44.939,13
2019_115,13542579.968820082,2776607.880680641,case,地震,闊葉樹林型,47.582,0
2019_116,13539210.940522598,2776954.807221734,case,地震,闊葉樹林型,68.721,6
2019_117,13538494.25862598,2776642.5126339924,case,地震,闊葉樹林型,49.661,3
