lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2023_553,卡努颱風,闊葉樹林型,36.45196008712727,270125.74,2661976.02,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_555,卡努颱風,闊葉樹林型,44.28418708125969,270948.82,2662303.04,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_556,卡努颱風,闊葉樹林型,35.06054243271615,270995.35,2662207.03,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_560,卡努颱風,闊葉樹林型,40.55896658324713,271356.73,2661879.7,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_561,卡努颱風,闊葉樹林型,43.139678341360025,270600.72,2661684.32,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_562,卡努颱風,闊葉樹林型,48.74735872696335,270814.57,2661787.62,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_568,卡努颱風,闊葉樹林型,34.03756281454756,271123.5,2661445.15,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_569,卡努颱風,闊葉樹林型,40.47420622680254,273293.47,2660349.49,133.6945037841797,89.32499694824219,133.27999877929688,3239.04736328125,160.2562255859375
2023_570,卡努颱風,闊葉樹林型,31.39687644298045,272156.37,2662881.67,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_572,卡努颱風,闊葉樹林型,43.26125824127405,272210.54,2662621.49,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_573,卡努颱風,闊葉樹林型,39.72788642801746,272172.55,2662510.38,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_574,卡努颱風,闊葉樹林型,27.26604445073282,272143.72,2662386.32,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_575,卡努颱風,闊葉樹林型,45.142527402683065,285317.87,2662119.84,112.85399627685547,74.61499786376953,112.48500061035156,2593.458740234375,148.11077880859375
2023_577,卡努颱風,闊葉樹林型,43.139678341360025,270120.81,2663915.04,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_578,卡努颱風,闊葉樹林型,35.41561005234765,270528.88,2663502.85,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_579,卡努颱風,闊葉樹林型,36.71637457580036,270352.36,2663501.2,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_580,卡努颱風,闊葉樹林型,44.6831922342158,270040.61,2663704.85,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_581,卡努颱風,闊葉樹林型,47.82172390517496,275296.03,2663692.04,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_583,卡努颱風,闊葉樹林型,44.359258950107865,261556.39,2657409.5,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_584,卡努颱風,闊葉樹林型,54.05790940033143,261869.79,2657094.74,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_588,卡努颱風,闊葉樹林型,37.90505895833579,262622.8,2657105.65,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_590,卡努颱風,闊葉樹林型,40.810470609746446,262550.11,2657053.83,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_591,卡努颱風,闊葉樹林型,46.39718102729638,262025.47,2656758.17,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_592,卡努颱風,闊葉樹林型,46.242226022013895,262080.49,2656658.17,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_593,卡努颱風,闊葉樹林型,41.54101551251079,262216.06,2656718.65,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_594,卡努颱風,闊葉樹林型,28.12178338655737,262341.7,2656830.07,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_596,卡努颱風,闊葉樹林型,37.410672491183874,262497.45,2656384.87,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_597,卡努颱風,闊葉樹林型,23.893396656492648,263307.09,2657555.71,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_599,卡努颱風,闊葉樹林型,42.04206908232861,261705.29,2656164.67,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_600,卡努颱風,闊葉樹林型,37.790111559066204,261571.32,2656056.65,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_601,卡努颱風,闊葉樹林型,42.52694856602216,261745.37,2656026.52,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_602,卡努颱風,闊葉樹林型,46.143468717782,261462.47,2656420.8,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_603,卡努颱風,闊葉樹林型,40.376760812124,261013.77,2655031.24,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_604,卡努颱風,闊葉樹林型,39.727886428017456,261550.79,2655167.41,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_606,卡努颱風,闊葉樹林型,38.453757061620536,261479.76,2655278.7,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_607,卡努颱風,闊葉樹林型,34.32623881675949,261464.76,2655321.77,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_608,卡努颱風,闊葉樹林型,41.83254107800667,261926.47,2655185.22,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_609,卡努颱風,闊葉樹林型,30.24625565345472,262135.82,2655118.94,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_610,卡努颱風,闊葉樹林型,46.90680986887181,262132.56,2655050.83,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_612,卡努颱風,闊葉樹林型,36.43626970061044,262278.91,2655323.46,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_613,卡努颱風,闊葉樹林型,44.359258950107865,262096.41,2655460.58,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_614,卡努颱風,闊葉樹林型,30.720611476635867,262201.86,2656207.24,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_615,卡努颱風,闊葉樹林型,39.14355704978305,263466.1,2654804.4,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_616,卡努颱風,闊葉樹林型,37.30694874098832,263576.09,2654595.27,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_617,卡努颱風,闊葉樹林型,44.783515145502,263318.24,2655079.92,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_618,卡努颱風,闊葉樹林型,42.03111377419729,263473.09,2654983.04,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_619,卡努颱風,闊葉樹林型,41.83254107800667,263433.94,2654934.69,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_620,卡努颱風,闊葉樹林型,50.82682311538271,263387.21,2654931.1,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_621,卡努颱風,闊葉樹林型,37.67432421467949,263370.87,2654764.21,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_622,卡努颱風,闊葉樹林型,45.73285177294307,263342.36,2655614.02,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_624,卡努颱風,闊葉樹林型,32.51251731617002,263422.01,2655415.12,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_627,卡努颱風,闊葉樹林型,32.005383208083494,263415.58,2656265.72,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_628,卡努颱風,闊葉樹林型,37.30694874098832,263475.02,2656072.68,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_629,卡努颱風,闊葉樹林型,34.802079725529744,263261.33,2656267.08,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_630,卡努颱風,闊葉樹林型,32.005383208083494,263540.85,2656856.46,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_632,卡努颱風,闊葉樹林型,29.32750061118656,263203.79,2655584.21,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_633,卡努颱風,闊葉樹林型,32.18975488338548,263331.97,2654692.68,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_634,卡努颱風,闊葉樹林型,40.53479707962874,263354.32,2654643.04,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_635,卡努颱風,闊葉樹林型,45.16024384854909,261031.26,2654743.7,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_637,卡努颱風,闊葉樹林型,38.50896869263104,261368.24,2654439.4,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
