case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y
0,闊葉樹林型,40.7628826356304,-0.4930125719808804,0.8700221858486122,0.0071467619848612,-0.0103532380151387,1298.0,1661.6126007661785,bg_169,242981.3,2535972.5
0,針葉樹林型,27.26604445073282,-0.7761140001162654,0.6305926250944658,-0.0055882352941176,0.0169117647058823,2801.0,743.437179989338,bg_181,272454.2,2614340.8
0,闊葉樹林型,39.14355704978305,0.982872186934322,0.1842885350501853,-0.0142641509433962,0.0007358490566037,2070.0,1532.2180585096205,bg_185,258767.3,2693383.4
0,闊葉樹林型,43.77679566071583,-0.1304545125713874,-0.9914542955425436,0.0085125936010891,-0.0089874063989108,554.0,1916.407838320068,bg_186,299873.9,2674838.8
0,闊葉樹林型,17.5484006137923,0.9486832980505138,0.316227766016838,0.0284999999999999,-0.0115,162.0,307.94636410214594,bg_187,223572.7,2446590.0
0,竹闊混淆林,31.588135505201176,0.447213595499958,-0.8944271909999159,0.0105,-0.012,621.0,997.8103046949512,bg_191,212475.5,2575189.3
0,闊葉樹林型,31.332627955778683,0.944496796706159,-0.3285206249412727,0.0429595278246205,-0.0345404721753794,466.0,981.733574615244,bg_198,236837.4,2640394.2
0,闊葉樹林型,15.616129405024544,0.8944271909999159,0.4472135954999579,0.0115,-0.011,534.0,243.86349759447216,bg_199,282250.5,2596695.5
0,闊葉樹林型,29.89890183861456,6.123233995736766e-17,1.0,0.0,-0.0075,128.0,893.9443311551091,bg_204,277854.1,2547371.5
0,闊葉樹林型,38.659808254090095,6.123233995736766e-17,1.0,0.005,-0.0,1256.0,1494.580774243013,bg_205,315321.5,2705432.5
0,闊葉樹林型,30.269155243344123,0.9852117548196744,-0.1713411747512477,0.0399724770642201,-0.0175275229357798,531.0,916.221759145667,bg_210,233717.1,2659310.8
0,闊葉樹林型,30.337664384844903,-0.3417430630867044,0.939793423488437,-0.0052189781021897,-0.0002189781021897,823.0,920.3738803274872,bg_212,249864.2,2512714.1
0,針葉樹林型,32.73080151420785,0.233372952475324,0.9723873019805176,-0.0098865355521936,-0.0023865355521936,1362.0,1071.3053677624707,bg_214,301694.8,2712617.6
0,竹闊混淆林,27.26604445073282,0.6305926250944657,0.7761140001162655,0.002835294117647,-0.0096647058823529,59.0,743.437179989338,bg_219,242205.3,2724538.3
0,闊葉樹林型,22.40687120493745,0.970142500145332,-0.2425356250363329,-0.0126470588235294,0.0373529411764705,476.0,502.067877194655,bg_223,295293.3,2611815.7
0,闊葉樹林型,53.03086032958196,0.3387194682727417,0.9408874118687268,0.009952195467422,-0.0200478045325779,1475.0,2812.272147295629,bg_226,245884.2,2518492.8
0,闊葉樹林型,45.74135233937299,-0.9988123511248966,-0.0487225537134097,-0.0044451038575667,0.0280548961424332,331.0,2092.2713138346626,bg_228,304694.4,2618093.9
0,闊葉樹林型,30.653673803588863,-0.4640069946705576,0.8858315352801553,0.0054448398576512,-0.0095551601423487,1180.0,939.6477176568304,bg_235,232335.1,2626192.2
0,針葉樹林型,36.19905592632724,-0.136637397137031,0.9906211292434748,-0.0043465577596266,0.0431534422403734,1452.0,1310.3716499573673,bg_238,267984.0,2684298.7
0,闊葉樹林型,33.946295027753955,0.8541985556144386,0.5199469468957453,-0.0192448275862069,0.0082551724137931,1453.0,1152.3509461113129,bg_239,323059.9,2710925.9
0,闊葉樹林型,27.484186071108013,0.8169678632647617,0.5766831975986553,-0.0153579676674364,0.0071420323325635,1156.0,755.3804839912877,bg_244,260318.7,2649236.0
0,闊葉樹林型,64.15138738667669,0.2906796273194849,-0.956820439926638,-0.0240934428634296,0.0234065571365703,406.0,4115.400503635461,bg_248,231672.0,2482717.0
0,竹林,25.407718108948472,1.0,0.0,0.02,-0.0075,104.0,645.5521395037881,bg_255,192755.4,2544201.4
0,闊葉樹林型,36.839310662660615,-0.9010016697590998,-0.4338156187728999,-0.0085913140311804,0.0164086859688196,1124.0,1357.13481010002,bg_257,301906.0,2736131.2
0,闊葉樹林型,10.21937711459359,-0.8320502943378437,-0.5547001962252291,-0.0073076923076923,0.0026923076923076,1672.0,104.4356686102792,bg_261,281329.1,2716868.6
0,針闊葉樹混淆,42.862412092456296,-0.4579565896743103,-0.888974556426603,-0.0044466618287373,0.0105533381712626,2404.0,1837.186370383544,bg_262,281654.4,2706608.6
0,闊葉樹林型,1.4320961841646465,-1.0,1.2246467991473532e-16,0.0,-0.0074999999999999,1603.0,2.050899480698941,bg_267,291291.9,2711421.3
0,竹林,32.63194030642942,0.7808688094430304,-0.6246950475544243,0.0086585365853658,-0.0213414634146341,152.0,1064.843528162373,bg_270,315498.8,2786593.9
0,闊葉樹林型,48.91696599526741,-0.9590177080589004,-0.2833461410174025,0.0271116389548693,-0.0003883610451306,1630.0,2392.8695621821475,bg_275,289504.1,2658352.1
0,針葉樹林型,32.51251731617002,-0.1961161351381841,0.98058067569092,-0.0025480769230769,-0.0025480769230769,2765.0,1057.0637822342553,bg_280,236532.4,2560816.9
0,針闊葉樹混淆,30.10818826996884,-0.129339184067768,0.9916004111862218,-0.0028136617100371,-0.0078136617100371,781.0,906.5030008998892,bg_284,278388.2,2734908.8
0,闊葉樹林型,18.053902977226738,-0.8436614877321074,-0.5368754921931594,-0.0164779411764705,0.0135220588235294,853.0,325.9434127111165,bg_285,292876.3,2585485.1
0,針葉樹林型,20.556045219583467,-0.8,-0.6,0.0088,-0.0136999999999999,2588.0,422.5509950695603,bg_288,258710.9,2603729.1
0,竹林,29.49620849656644,-0.7071067811865475,0.7071067811865476,-0.0287499999999999,0.02125,381.0,870.0263156729181,bg_289,237986.0,2697790.0
0,闊葉樹林型,33.33081260166977,0.152057184253941,0.9883716976506172,-0.0135260115606936,0.0014739884393063,1017.0,1110.9430686876285,bg_301,248692.7,2708102.6
0,針闊葉樹混淆,26.67924362098057,-0.0995037190209989,0.9950371902099892,0.005569306930693,0.000569306930693,2540.0,711.7820401876326,bg_302,289503.1,2665443.1
0,待成林地,22.59136070457113,-0.8411784753765534,-0.5407575913134989,-0.001768953068592,0.0007310469314079,2990.0,510.3695784840406,bg_306,267474.2,2599839.0
0,闊葉樹林型,20.597847294514036,0.9977851578566088,-0.0665190105237739,-0.0366261061946902,0.0283738938053097,1777.0,424.27131316811904,bg_307,257246.2,2581691.4
0,闊葉樹林型,38.93040115948257,0.9284766908852592,-0.3713906763541037,-0.0030172413793103,0.0019827586206896,2047.0,1515.576134438242,bg_312,258244.5,2709632.1
0,闊葉樹林型,45.11591147929481,-0.3236876790629903,-0.946163984953356,-0.0018784872907625,0.0106215127092374,1342.0,2035.445468607565,bg_314,247808.1,2695342.3
0,針葉樹林型,37.81892671564865,0.2576626505603324,0.9662349396012464,0.0215352697095435,-0.0234647302904564,2005.0,1430.2712179236032,bg_324,244818.2,2587378.1
