uid,NDVI,NDMI,NBR,n_obs
bg_1437,0.7946967482566833,0.2224252820014953,0.5406166911125183,470.0
bg_1439,0.8606417179107666,0.1904297173023224,0.5333475470542908,213.0
bg_1440,0.7795392870903015,0.1741637885570526,0.4942560195922851,475.0
bg_1442,0.8480873107910156,0.4348092079162597,0.7048513889312744,69.0
bg_1447,0.8541570901870728,0.2959277331829071,0.5780379772186279,152.0
bg_1451,0.8420637845993042,0.3646033704280853,0.6616401672363281,130.0
bg_1456,0.8567878603935242,0.3237603306770324,0.6347763538360596,278.0
bg_1467,0.8309986591339111,0.3717534840106964,0.673400342464447,162.0
bg_1476,0.8152182698249817,0.2887473404407501,0.6002243757247925,153.0
bg_1492,0.8041948676109314,0.2399356812238693,0.5515773296356201,310.0
bg_1498,0.7045505046844482,0.2010128796100616,0.4700236022472381,387.0
bg_1503,0.8495370745658875,0.2884168624877929,0.5906693339347839,458.0
bg_1517,0.8106922507286072,0.2660738825798034,0.59923255443573,184.0
bg_1524,0.8178029656410217,0.2684121131896972,0.5675416588783264,484.0
bg_1525,0.8849149346351624,0.3773507177829742,0.6931264996528625,437.0
bg_1528,0.861476480960846,0.285992830991745,0.6151378750801086,981.0
bg_1535,0.8494303226470947,0.3507854342460632,0.6663081645965576,369.0
bg_1542,0.7123686075210571,0.2281639724969864,0.4861998856067657,79.0
bg_1549,0.8395060300827026,0.2000762969255447,0.5255306363105774,186.0
bg_1552,0.9002721309661865,0.318068116903305,0.6351284384727478,500.0
bg_1553,0.7229942083358765,0.2675338089466095,0.5457820296287537,397.0
bg_1557,0.8725094795227051,0.3565850853919983,0.6618320941925049,325.0
bg_1559,0.8543393611907959,0.297147661447525,0.601304829120636,138.0
bg_1563,0.8223493695259094,0.2664916813373565,0.5885969400405884,441.0
bg_1568,0.771648645401001,0.2752445936203003,0.5378697514533997,450.0
bg_1577,0.8459957242012024,0.2752987444400787,0.6032452583312988,488.0
bg_1579,0.8931511044502258,0.3526538014411926,0.6623362898826599,183.0
bg_1580,0.8346278667449951,0.2962035238742828,0.6155141592025757,147.0
bg_1584,0.8198788166046143,0.3032585680484772,0.6139926314353943,138.0
bg_1590,0.8655106425285339,0.3268122375011444,0.6580086946487427,507.0
bg_1596,0.7804020643234253,0.2184628993272781,0.5275964140892029,190.0
bg_1597,0.8411255478858948,0.2818700671195984,0.5845313668251038,364.0
bg_1608,0.8809484243392944,0.3785315752029419,0.6754180192947388,202.0
bg_1609,0.8768555521965027,0.3487262427806854,0.6545913815498352,437.0
bg_1611,0.8727833032608032,0.362692266702652,0.6703246235847473,251.0
bg_1612,0.8342635035514832,0.3575875759124756,0.6501289010047913,350.0
bg_1618,0.8529434204101562,0.3481236696243286,0.6499319672584534,200.0
bg_1634,0.8610443472862244,0.3209735155105591,0.6436672210693359,135.0
bg_1642,0.8632001876831055,0.2912125587463379,0.6092138290405273,466.0
bg_1648,0.8651583790779114,0.295108824968338,0.6229563355445862,433.0
bg_1651,0.7671471834182739,0.2393505126237869,0.5258595943450928,492.0
bg_1659,0.8714591264724731,0.2721022367477417,0.6111392974853516,330.0
bg_1661,0.8769899606704712,0.3232216238975525,0.6063604950904846,209.0
bg_1678,0.8616154193878174,0.354570984840393,0.6405565142631531,324.0
bg_1680,0.8446441292762756,0.2723219692707062,0.5685950517654419,65.0
bg_1687,0.7299492359161377,0.2824759483337402,0.5300113558769226,67.0
bg_1690,0.8139203190803528,0.2785132825374603,0.5838224291801453,213.0
bg_1717,0.8574503660202026,0.3652157485485077,0.6620287895202637,600.0
bg_1727,0.7171131372451782,0.118212454020977,0.3737785518169403,298.0
bg_1728,0.7456384301185608,0.1968444734811782,0.4719700217247009,91.0
bg_1729,0.7677709460258484,0.2012222707271576,0.5057185292243958,502.0
bg_1736,0.8569656610488892,0.3386257290840149,0.6266283988952637,191.0
bg_1743,0.7885521650314331,0.2958226799964905,0.599174976348877,45.0
bg_1747,0.8498266339302063,0.3412618935108185,0.6578517556190491,122.0
bg_1749,0.8400431871414185,0.325771152973175,0.615405261516571,127.0
bg_1756,0.8850642442703247,0.309438407421112,0.6193623542785645,438.0
bg_1765,0.8845982551574707,0.3691608011722564,0.665901243686676,519.0
bg_1777,0.8689826726913452,0.3343289792537689,0.6421762108802795,365.0
bg_1786,0.8066436052322388,0.2508074343204498,0.5335699319839478,502.0
bg_1791,0.8892475366592407,0.384491503238678,0.6739814877510071,223.0
