bg_lid,before,dist_nearest_case_m
bg_1216,2025-03-25,2247.2030577586324
bg_1222,2024-07-18,1384.4994801009254
bg_1229,2024-07-18,1223.1956370916246
bg_1250,2021-09-22,1322.4282220975401
bg_1251,2025-04-14,2386.8108607512186
bg_1255,2024-09-01,1008.2966581318997
bg_1260,2025-04-14,2389.0824516537796
bg_1261,2024-02-14,2994.210738241251
bg_1263,2023-07-07,810.5877793922588
bg_1286,2025-06-28,237.64442282518183
bg_1294,2025-03-25,2132.381767062382
bg_1295,2024-09-01,1243.0061756885689
bg_1297,2022-07-24,4223.235426660317
bg_1303,2023-07-09,1025.5335579588511
bg_1304,2023-08-26,2965.686443186486
bg_1305,2022-07-24,1054.2232747383284
bg_1307,2019-02-08,3599.912156817173
bg_1316,2025-03-25,15143.049208570965
bg_1334,2024-07-18,3083.814185858174
bg_1337,2023-07-14,942.8209582948353
bg_1348,2024-07-18,2251.7765618506987
bg_1349,2025-04-14,527.5251115351336
bg_1354,2024-02-14,1685.434355707745
bg_1358,2025-06-28,2251.8851127221433
bg_1365,2025-09-21,441.1827714225194
bg_1376,2021-07-14,10554.050862602422
bg_1378,2024-07-18,4257.637304092451
bg_1389,2024-02-14,1111.3992555781856
bg_1398,2024-07-18,1309.868359568875
bg_1402,2019-07-15,1411.4232472579317
bg_1409,2025-06-28,605.6692279619645
bg_1427,2025-03-25,6394.503115661168
bg_1434,2024-07-18,459.13439481241005
bg_1437,2024-07-18,664.6054253462551
bg_1439,2025-03-25,321.88283116690724
bg_1440,2025-04-14,3965.249707269442
bg_1442,2025-03-25,73036.88745074841
bg_1447,2025-10-12,3524.3671093687076
bg_1451,2021-07-14,20876.37151447541
bg_1456,2025-03-25,769.2650989743329
bg_1467,2024-10-16,2036.33331507881
bg_1476,2025-03-25,15517.39325858901
bg_1492,2023-07-07,1321.1656639876408
bg_1498,2024-07-18,2944.965569544045
bg_1503,2025-06-28,635.771243844839
bg_1517,2022-10-02,10005.571656157415
bg_1524,2025-03-25,1287.6213704733973
bg_1525,2025-03-25,4998.668347790199
bg_1528,2025-03-25,1091.7611578086473
bg_1535,2025-03-25,11766.17119017467
bg_1542,2024-04-29,85.76220263028023
bg_1549,2022-10-02,1719.1874471680685
bg_1552,2025-03-25,811.8036600681676
bg_1553,2025-03-25,691.6406791103362
bg_1557,2025-04-14,1202.7036119095321
bg_1559,2024-09-11,13717.64772694261
bg_1563,2025-03-25,2447.2542763064116
bg_1568,2024-07-03,1438.9146393376186
bg_1577,2025-03-25,1616.2215101275572
bg_1579,2024-07-18,1997.1307323506849
bg_1580,2025-03-25,11814.465136505534
bg_1584,2021-07-14,11907.904423214026
bg_1590,2024-07-18,1548.7172708083253
bg_1596,2025-03-25,1400.7961719679167
bg_1597,2025-04-14,1295.7286705172562
bg_1608,2025-04-14,661.7611213270102
