uid,NDVI,NDMI,NBR,n_obs,before
bg_27000,0.7672287821769714,0.2379421591758728,0.5063889622688293,6.0,2019-04-26
bg_28543,0.7608022093772888,0.2466557919979095,0.5438849329948425,16.0,2019-04-26
bg_29639,0.799411952495575,0.2433648258447647,0.5310002565383911,9.0,2019-04-26
bg_30128,0.7680757641792297,0.131599873304367,0.4196737706661224,18.0,2019-04-26
bg_32629,0.7386877536773682,0.1972437500953674,0.4946236610412597,11.0,2019-04-26
bg_32668,0.7941420078277588,0.2277290672063827,0.5330867767333984,20.0,2019-04-26
bg_34049,0.8089271783828735,0.2973883748054504,0.5827338099479675,7.0,2019-04-26
bg_35057,0.7567254304885864,0.1919938772916793,0.4833746552467346,8.0,2019-04-26
bg_36769,0.8150424361228943,0.2870920300483703,0.6133221983909607,4.0,2019-04-26
bg_36936,0.86690753698349,0.3216798305511474,0.6442199945449829,7.0,2019-04-26
bg_37777,0.7450442314147949,0.1467559188604354,0.3976229727268219,20.0,2019-04-26
bg_38499,0.8640776872634888,0.3274948000907898,0.6438356041908264,7.0,2019-04-26
bg_39215,0.8508310914039612,0.3773360252380371,0.6719490885734558,20.0,2019-04-26
bg_39387,0.8618165850639343,0.3742044270038605,0.6763071417808533,10.0,2019-04-26
bg_39453,0.8090100884437561,0.3461896479129791,0.6401861310005188,4.0,2019-04-26
bg_39671,0.8666850328445435,0.3654892444610595,0.6198925971984863,20.0,2019-04-26
bg_45280,0.6351645588874817,0.1626399755477905,0.4250343739986419,4.0,2019-04-26
bg_48575,0.4816489517688751,0.0619687214493751,0.2904675006866455,22.0,2019-04-26
bg_49668,0.8288361430168152,0.2610836923122406,0.563297688961029,18.0,2019-04-26
bg_4062,0.8072176575660706,0.3915032148361206,0.6623730659484863,2.0,2019-06-20
bg_10711,0.7963438034057617,0.3590019345283508,0.6218361258506775,4.0,2019-06-20
bg_29582,0.7762085795402527,0.3260340392589569,0.6236345767974854,1.0,2019-06-20
bg_312,0.7265664339065552,0.3120113611221313,0.5530152916908264,8.0,2019-07-15
bg_722,0.8422933220863342,0.2888938784599304,0.6109737157821655,2.0,2019-07-15
bg_1402,0.7803278565406799,0.2543859481811523,0.598137378692627,7.0,2019-07-15
bg_1611,0.8874185085296631,0.3564054071903229,0.6763818860054016,7.0,2019-07-15
bg_2404,0.8751562833786011,0.2745645046234131,0.6055039167404175,12.0,2019-07-15
bg_3018,0.8048107624053955,0.3006131649017334,0.5642035603523254,12.0,2019-07-15
bg_3453,0.8439699411392212,0.314984381198883,0.6179645657539368,10.0,2019-07-15
bg_6556,0.8650875687599182,0.3412444293498993,0.6387078166007996,8.0,2019-07-15
bg_6917,0.7395833134651184,0.2529384791851043,0.5401844382286072,5.0,2019-07-15
bg_6954,0.7342857122421265,0.3054007291793823,0.6121528744697571,7.0,2019-07-15
bg_7333,0.8541854023933411,0.3165042400360107,0.6536223292350769,7.0,2019-07-15
bg_7588,0.8369359374046326,0.3060793876647949,0.6070095896720886,7.0,2019-07-15
bg_7911,0.8612829446792603,0.3224132359027862,0.6344462037086487,4.0,2019-07-15
bg_9251,0.5133410692214966,0.270222008228302,0.5181165337562561,10.0,2019-07-15
bg_10272,0.861469566822052,0.3028847277164459,0.6212074160575867,8.0,2019-07-15
bg_10896,0.8450900912284851,0.2737404108047485,0.5881337523460388,6.0,2019-07-15
bg_12493,0.7625457644462585,0.2149607241153717,0.4833969473838806,10.0,2019-07-15
bg_12670,0.8642517328262329,0.3285188674926758,0.6480638384819031,8.0,2019-07-15
bg_13753,0.8463680744171143,0.2928336560726166,0.6136550307273865,13.0,2019-07-15
bg_15417,0.8628972768783569,0.3166075348854065,0.6236463785171509,10.0,2019-07-15
bg_15656,0.8179388642311096,0.2741512954235077,0.5826752185821533,12.0,2019-07-15
bg_16397,0.7696850299835205,0.2337786257266998,0.5556302666664124,7.0,2019-07-15
bg_16777,0.7990536689758301,0.3044623136520386,0.5861290097236633,6.0,2019-07-15
bg_18927,0.8390631079673767,0.3156220614910126,0.5934107303619385,5.0,2019-07-15
bg_20165,0.6038492918014526,0.1889958679676056,0.4311968982219696,12.0,2019-07-15
bg_20645,0.83008873462677,0.3118155896663666,0.6253888010978699,6.0,2019-07-15
bg_21982,0.7001471519470215,0.2262028604745865,0.4878706634044647,12.0,2019-07-15
bg_23344,0.8383432626724243,0.3232254683971405,0.6573085188865662,12.0,2019-07-15
bg_25903,0.8239515423774719,0.2831088006496429,0.5825499892234802,12.0,2019-07-15
bg_26189,0.8740553855895996,0.3337010443210602,0.6592897772789001,5.0,2019-07-15
bg_27072,0.825951337814331,0.2229571938514709,0.5594145655632019,9.0,2019-07-15
bg_27309,0.241632267832756,-0.0729202404618263,0.0862414687871933,5.0,2019-07-15
bg_27904,0.8245718479156494,0.3235460519790649,0.6230650544166565,14.0,2019-07-15
bg_28307,0.8623372316360474,0.327968567609787,0.6535254716873169,6.0,2019-07-15
bg_28898,0.8536900877952576,0.3113190829753876,0.6105191707611084,6.0,2019-07-15
bg_29255,0.8212290406227112,0.3224065005779266,0.6192572712898254,8.0,2019-07-15
bg_29810,0.6417121887207031,0.2683277130126953,0.5295549631118774,4.0,2019-07-15
bg_31756,0.7404105067253113,0.2403890341520309,0.5399690270423889,14.0,2019-07-15
bg_32024,0.7391281127929688,0.2657862603664398,0.5532898306846619,12.0,2019-07-15
bg_32188,0.8234767317771912,0.2800754904747009,0.586891770362854,7.0,2019-07-15
bg_32480,0.8447734117507935,0.3047754764556885,0.6246542930603027,7.0,2019-07-15
bg_33010,0.6811336278915405,0.2637865543365478,0.4931791424751282,4.0,2019-07-15
bg_33565,0.7933868765830994,0.3393163383007049,0.6199442744255066,6.0,2019-07-15
bg_34022,0.839202344417572,0.3196073472499847,0.6186578869819641,12.0,2019-07-15
bg_34451,0.8518421053886414,0.2844723463058471,0.594182014465332,6.0,2019-07-15
bg_34610,0.7691310048103333,0.1737211048603058,0.5426136255264282,9.0,2019-07-15
bg_34795,0.7400598526000977,0.2494092434644699,0.5364288687705994,3.0,2019-07-15
bg_36556,0.8568925857543945,0.3210786581039428,0.6135890483856201,12.0,2019-07-15
bg_37054,0.8310804963111877,0.3531793355941772,0.6533877849578857,12.0,2019-07-15
bg_37954,0.8627145290374756,0.2831356227397918,0.6295238137245178,7.0,2019-07-15
bg_38941,0.8602842092514038,0.3532951176166534,0.6583530902862549,10.0,2019-07-15
bg_40288,0.817338228225708,0.3060045540332794,0.6251780986785889,12.0,2019-07-15
